State,Constituency,Work Category,Work ID A,Description A,MP A,Work ID B,Description B,MP B,Similarity,Match Strength
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP001/2024-2025/145761,"7. Utkramit Middle School, Bhariva Vishanpur Block- Rajnagar,District Madhubani. 1 Set, Estimated Amount 6,25,000/- (Six Lakh Twenty Five thousand only) S.NO NAME QTY 1. Shoulder Press Double 01 2. Twister Sitting & Standing 01 3. Air Walker 01 4. Rotetor 01 5. Cross Walker 01 Main post- 114mm dia Galvanised pipe of 4mm thick, Paint- Epoxy coating of at least 100mm micron, Bearing - self lubricant for maintenance free usage",Shri Shambhu Sharan Patel (2022-28),WS/MP001/2024-2025/145762,"8. Utkramit Middle School, Pariharpur Block- Rajnagar,District Madhubani. 1 Set, Estimated Amount 6,25,000/- (Six Lakh Twenty Five thousand only) S.NO NAME QTY 1. Shoulder Press Double 01 2. Twister Sitting & Standing 01 3. Air Walker 01 4. Rotetor 01 5. Cross Walker 01 Main post- 114mm dia Galvanised pipe of 4mm thick, Paint- Epoxy coating of at least 100mm micron, Bearing - self lubricant for maintenance free usage",Shri Shambhu Sharan Patel (2022-28),96.8,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18300/2024-2025/148909,Installing a big hand pump (india mark II) at a public place near the house of Jitendra Singh Chandravanshi in village Rasulpur of Ward No. 1 of Rasulpur Panchayat.,Dr. Bhim Singh (2024-30),WS/MP18300/2024-2025/148910,Installing a big hand pump (india mark II) at a public place near the house of Umesh Singh Chandravanshi in village Rasulpur of Ward No. 7 of Rasulpur Panchayat.,Dr. Bhim Singh (2024-30),93.5,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP001/2025-2026/156269,1.Supplyerrectionandcommissioning of 17 Mtr. High Mast Lighting Tower in 2 section with 8 Nos,Shri Shambhu Sharan Patel (2022-28),WS/MP001/2025-2026/156270,2.Supplyerrectionandcommissioning of 17 Mtr. High Mast Lighting Tower in 2 section with 8 Nos.,Shri Shambhu Sharan Patel (2022-28),99.3,Extremely High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP001/2025-2026/188640,Supply errection and commissioning of 17 Mtr. High Mast Lighting Tower in 2 section with 8 Nos,Shri Shambhu Sharan Patel (2022-28),WS/MP001/2025-2026/188639,Supply errectionand commissioning of 17 Mtr High Mast Lighting Tower in 2 section with 8 Nos.,Shri Shambhu Sharan Patel (2022-28),93.0,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18300/2025-2026/189193,CONSTRUCTION OF PCC ROAD AND UNDERGROUND DRAIN,Dr. Bhim Singh (2024-30),WS/MP18300/2025-2026/200899,Construction work of PCC road and underground drain,Dr. Bhim Singh (2024-30),96.9,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP042/2025-2026/208182,Installation work of high mast light near Chainpur nayi Kali Mandir located in Chainpur Panchayat under Kahra block.,Prof. Manoj Kumar Jha (2024-30),WS/MP042/2025-2026/208181,Installation work of high mast light near Chainpur purani Kali Mandir located in Chainpur Panchayat under Kahra block.,Prof. Manoj Kumar Jha (2024-30),92.7,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18300/2026-2027/288703,Construction of a PCC road,Dr. Bhim Singh (2024-30),WS/MP052/2025-2026/221654,Construction of pcc road,Shri Satish Chandra Dubey (2022-28),97.6,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230653,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Baharampur Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230651,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Rustampur Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),95.2,Very High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230651,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Rustampur Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2026-2027/230658,"Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the available government land in Chandpura Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),92.0,High
Bihar,Sitting Rajya Sabha,Normal/Others,WS/MP18342/2025-2026/230651,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Rustampur Panchayat under Raghopur Block.",Shri Sanjay Yadav (2024-30),WS/MP18342/2025-2026/230654,"Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in the Saidabad Panchayat under the Raghopur Block.",Shri Sanjay Yadav (2024-30),92.9,High
