"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"3929","Normal/Others","WS/MP106/2023-2024/125582-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram Panchayat Ramgarha, Janpad Panchayat Berasia ke gram Ramgarha main Mandir ke pas se Gaon ki aur CC Road, Nirman, Bhopal","11-Mar-2024","300000","15-Mar-2024"
"3930","Normal/Others","WS/MP106/2024-2025/125596-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Gram Indra, Gram Panchayat Bairagi, Janpad Panchayat Jabalpur main Dumarilal ke ghar se Samudayik Bhavan ki aor CC Road Nirman, Jabalpur","15-Mar-2024","600000","08-Jul-2024"
"3931","Normal/Others","WS/MP197/2024-2025/125985-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Shri Neeraj Shekhar (2020-26)","Sitting Rajya Sabha","CC/Interlocking work from Krishna Chauhan's house to Shiv Temple in Gram Panchayat Muhammadpur Kusum.","12-Mar-2024","900000","24-Sep-2024"
"3932","Normal/Others","WS/MP140/2023-2024/125997-Development of public parks","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","For Laying Interlocks on paths and boundary wall surrounding park in village Memorial Park.","12-Mar-2024","500000","13-Mar-2024"
"3933","Normal/Others","WS/MP140/2023-2024/125998-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","To install interlock on roads in village streets and to pave unpaved drains","12-Mar-2024","1800000","13-Mar-2024"
"3934","Normal/Others","WS/MP166/2024-2025/126221-Providing drains and gutters for public drainage","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Construction of Drain RCC Slab at near Keelanilakkottai PUE School, Pudunilavayal panchayat, Pudukottai","15-Mar-2024","1021837","11-Jun-2024"
"3935","Normal/Others","WS/MP166/2024-2025/126222-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Providing BT Road at Pudunilapatty  Keela street pirivu road to ayyan oorani via mayankkarai road Pudunilavayal panchayat, Pudukottai","15-Mar-2024","1285203","11-Jun-2024"
"3936","Normal/Others","WS/MP166/2024-2025/126223-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Providing BT Road at pudunilaipatty ambalakkara street, Pudunilavayal panchayat, arimalam union pudukottai","15-Mar-2024","1258874","11-Jun-2024"
"3937","Normal/Others","WS/MP166/2024-2025/126271-Installing community drinking water plants","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Providing RO Plant 100 LPH for admin building Arignar Anna Govt. Arts College, Mohanur union","15-Mar-2024","392000","11-Jun-2024"
"3938","Normal/Others","WS/MP166/2024-2025/126272-Installing tube-wells and borewells","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Drilling of New borewell and supply and erection of Submergible motor with accessories at Ondikadi Kalaignar Nagar, Eswaramoorthipalayam, Namagripet Block","15-Mar-2024","513352","11-Jun-2024"
"3939","Normal/Others","WS/MP166/2024-2025/126273-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Construction of waiting shed at burial ground. Mohanur TP","15-Mar-2024","800000","11-Jun-2024"
"3940","Normal/Others","WS/MP166/2024-2025/126274-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Construction of Steps at burial ground Mohanur TP","15-Mar-2024","222000","11-Jun-2024"
"3941","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28)","Sitting Rajya Sabha","Construction of Construction of 50 meter wall along the side of the road from Sangam Vihar Pulia to Mukandi Imrati jansewa nyas Trust.","12-Mar-2024","272659","NA"
"3942","Normal/Others","WS/MP140/2024-2025/126948-Construction of public libraries and reading rooms","Punjab","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Grant for construction of library hall. in village","13-Mar-2024","500000","19-Jul-2024"
"3943","Normal/Others","WS/MP140/2024-2025/126950-Development of public parks","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","For Laying Interlocks on paths and boundary wall surrounding park.","13-Mar-2024","300000","24-Oct-2024"
"3944","Normal/Others","WS/MP844/2023-2024/127110-Purchase of furniture and fixtures for educational purposes","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28)","Sitting Rajya Sabha","Grant of MPLAD Funds for rupees 40 lakhs for Fixtures, Machinery, Equipments for educational purposes in ITI Manakpur Sharif","13-Mar-2024","535423.74","16-Mar-2024"
"3945","Normal/Others","WS/MP187/2024-2025/127149-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","GRAM PANCHAYAT MALHPUR BHAWANI MEIN  KUWARPAL KE MAKAN SE JANSEWA KENDRA WALI GALI MEIN PUNJABI KE MAKAN TAK INTERLOCKING  AND NALI WORKS. LENGTH. 80 MTRS. COST 5 LAC.","13-Mar-2024","500000","13-Aug-2024"
"3946","Normal/Others","WS/MP187/2024-2025/127158-Construction of rooms and halls in school and colleges","Uttar Pradesh","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Shri Javed Ali Khan (2022-28)","Sitting Rajya Sabha","Construction of classrooms in Mohd. Yaseen Inter College, Kewal pur, Bharat Ganj, Manda, Prayagraj.","13-Mar-2024","500000","02-Aug-2024"
"3947","Normal/Others","WS/MP844/2024-2025/127389-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28)","Sitting Rajya Sabha","Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar. MPLAD grant of rupees One crore Fifty lakh Sixty thousand, Eight Hundred Six only","13-Mar-2024","15060806","07-Aug-2024"
"3948","Normal/Others","WS/MP887/2023-2024/127572-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26)","Sitting Rajya Sabha","????? 174-???? ????????, ???? ?? ???????? ?????????? ????? ????? ???? ????? ???? ?? ?????????? ???","13-Mar-2024","3894000","16-Mar-2024"
"3949","Normal/Others","WS/MP140/2024-2025/128011-Renovation of ponds and lakes","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","For laying sewerage and drainage of dirty water in the village.","14-Mar-2024","1200000","09-Sep-2024"
"3950","Normal/Others","WS/MP202/2024-2025/128061-Construction of shelters for animals","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Vikash Khand Karnjakla Gram khateerpur Bhainsa Me Pshuwo Ke Liye Aasrya Asthal ka Nirman Karya  sampark Sutra 9473693398  / 9451007728","14-Mar-2024","978636","29-Jun-2024"
"3951","Normal/Others","WS/MP140/2024-2025/128066-Construction of community centers and community halls","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Construction of BUS STAND, Washrooms and Park in village Sandhwan.","14-Mar-2024","100000","02-Aug-2024"
"3952","Normal/Others","WS/MP202/2024-2025/128083-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26)","Sitting Rajya Sabha","Kunwar Hariwansh Singh Narshing And Paramedical Collage Gram JagannathPatti Jagadishpur Jaunpur Ke Parishar Ke Upar Se Ja Rhi 33KV Line Jalalpur Ko Vijali VItran Awsarchana   Me Sudhar / Visthapit Karne Hetu Karya","14-Mar-2024","1332711","29-Jun-2024"
"3953","Normal/Others","WS/MP078/2024-2025/128246-Construction of rooms and halls in school and colleges","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28)","Sitting Rajya Sabha","C/o of additional Room/Hall at Prem Public Sr. Sec. School Theog, Ward No.03, District Shimla (Executing Agency, BDO Theog)","14-Mar-2024","200000","20-Aug-2024"
"3954","Normal/Others","WS/MP041/2024-2025/128352-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bisfi prakhand ke rathaus panchayat ke gram sibaul me sunil ke ghar se paschim wali nadi me puliya ka nirman","14-Mar-2024","1399959","04-Jul-2024"
"3955","Normal/Others","WS/MP041/2024-2025/128353-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bisfi prakhand ke simri me madarsa akhlakiya me 2 room ke bhawan ka nirman","14-Mar-2024","1304487","07-Oct-2024"
"3956","Normal/Others","WS/MP041/2024-2025/128354-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bisfi prakhand ke gram parsauni dakshin me madarsa reyatul uloom me 2 room ke bhawan ka nirman","14-Mar-2024","1313692","07-Oct-2024"
"3957","Normal/Others","WS/MP041/2024-2025/128355-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Bisfi prakhand ke gram Osauthu Dih me madarsa darul falah kanijiya me 2 room ke bhawan ka nirman","14-Mar-2024","1255411","07-Oct-2024"
"3958","Normal/Others","WS/MP041/2024-2025/128356-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Madhubani jila ke bisfi prakhand ke gram Aunsi bichla tola madarsa mohammadiya ka boundary gherabandi ka nirman","14-Mar-2024","1295366","07-Oct-2024"
"3959","Normal/Others","WS/MP041/2025-2026/128357-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Madhubani jila ke bisfi prakhand ke parsauni dakshni me md asmatullah and abul hasan secretary ke talab me dakshin-paschim kona ke samne masjid ke pichhe hokar abbas ke ghar tak boundary wall ka nirman","14-Mar-2024","1278656","07-Aug-2025"
"3960","Normal/Others","WS/MP041/2024-2025/128358-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Madhubani jila ke bisfi prakhand ke madarsa nure rahman bengra banhi Dih me 2 room ke bhawan ka nirman","14-Mar-2024","1299800","07-Oct-2024"
"3961","Normal/Others","WS/MP041/2024-2025/128359-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Madhubani jila ke bisfi prakhand ke madarsa mazharul uloom madarsa no-128  islampur chhachhuwa me pustakalaya  bhawan ka nirman","14-Mar-2024","1261808","07-Oct-2024"
"3962","Normal/Others","WS/MP041/2023-2024/128361-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Jaldhari chowk se ranti chowk jane wali pradhanmantri sarak ke kinare rupan das ke ghar ke bagal se rajkumar yadav ke ghar tak ward no-21 new chakdah me P.C.C sarak and nala nirman","14-Mar-2024","1050558","16-Mar-2024"
"3963","Normal/Others","WS/MP041/2024-2025/128362-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28)","Sitting Rajya Sabha","Rahika prakhand ke kakraul dakshni panchayat gram kharauwa me Jay Jay Ram Yadav ke ghar se Ram Sahay Yadav ke ghar hote hue pratmik vidyalay kharauwa tak P.C.C and nala ka nirman","14-Mar-2024","996691","06-Jul-2024"
"3964","Normal/Others","WS/MP166/2024-2025/129030-Construction of bus-sheds or bus-stops","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Construction of Passenger Shelter Near Sambandam Mill Bus Stop along NH44 Salem Main Road in Athanur Town Panchayat Uduppattanpudur, Namakkal District","15-Mar-2024","1976679","06-Nov-2024"
"3965","Normal/Others","WS/MP166/2024-2025/129056-Construction of public irrigation facilities","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Providing Earthern Bund and other facilities to Edapalayam Lake adjacent to Cuddalore-Chittoor Road in Tiruvannamalai","15-Mar-2024","10000000","27-Dec-2024"
"3966","Normal/Others","WS/MP132/2024-2025/129063-Construction of community centers and community halls","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Manas Ranjan Mangaraj (2022-28)","Sitting Rajya Sabha","Construction of Community Centre at Tainlo Village. Block: Kanasa, District: Puri","15-Mar-2024","500000","22-Aug-2024"
"3967","Normal/Others","WS/MP107/2023-2024/131072-Construction of boundary walls of existing public and community buildings","Madhya Pradesh","DINDORI(District Collector Dindori_IDA)","Smt. Sumitra Balmik (2022-28)","Sitting Rajya Sabha","Contrution work of Boundary wall in PG college Dindori","16-Mar-2024","500000","16-Mar-2024"
"3968","Normal/Others","WS/MP096/2024-2025/132372-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Chirakkal - Kootayi Alavipadi road/pathway, ward no.03, Ponmundam Panchayat","11-Jun-2024","367434","08-Jul-2024"
"3969","Normal/Others","WS/MP139/2024-2025/132402-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Improvements to Internal streets at Thilagar nagar, Thattanchavady constituency, Puducherry.","11-Jun-2024","3524073","12-Jun-2024"
"3970","Normal/Others","WS/MP139/2024-2025/132403-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Improvements to Main roads of Maheswari nagar and Sinthamani nagar in Oulgaret Revenue village in Oulgaret constituency","11-Jun-2024","1361805","12-Jun-2024"
"3971","Normal/Others","WS/MP139/2024-2025/132404-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Improvements to the internal streets at Krishna nagar west in Kamaraj nagar constituency","11-Jun-2024","2944058","12-Jun-2024"
"3972","Normal/Others","WS/MP139/2024-2025/132405-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27)","Sitting Rajya Sabha","Construction of compound wall around the existing park area at co-operative nagar, Bahour in Bahour constituency","11-Jun-2024","1000000","14-Jun-2024"
"3973","Normal/Others","WS/MP096/2024-2025/132532-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of PWD Mundappalam  Edayangad road or pathway ward No 08 Kondotty Municipality","14-Jun-2024","228870","10-Sep-2024"
"3974","Normal/Others","WS/MP096/2024-2025/132533-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Chekkath - Kaipatta Naduvil road /pathway, Ward No. 01, Othukkungal Panchayat","14-Jun-2024","356297","12-Jul-2024"
"3975","Normal/Others","WS/MP096/2024-2025/132534-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27)","Sitting Rajya Sabha","Construction of Paarangadi SC Colony road /pathway, ward No. 07, Othukkungal Panchayat (SC)","14-Jun-2024","127296","12-Jul-2024"
