"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16721","Rajasthan","Construction of footpaths and pedestrian ways","WS/MP18166/2024-2025/172036","Sanchor(DISTRICT COLLECTOR Sanchor_IDA)","LUMBARAM","JALORE","16-Jan-2026","subal kanwar","Payment Success","3626"
"16722","Rajasthan","Construction of footpaths and pedestrian ways","WS/MP18166/2024-2025/172036","Sanchor(DISTRICT COLLECTOR Sanchor_IDA)","LUMBARAM","JALORE","16-Jan-2026","moti singh","Payment Success","3626"
"16723","Rajasthan","Construction of footpaths and pedestrian ways","WS/MP18166/2024-2025/172036","Sanchor(DISTRICT COLLECTOR Sanchor_IDA)","LUMBARAM","JALORE","16-Jan-2026","kailash kanwar","Payment Success","3626"
"16724","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18122/2025-2026/186337","JALNA(DISTRICT COLLECTOR JALNA_IDA)","KALYAN VAIJINATHRAO KALE","JALNA","18-Jan-2026","Bhagwan Baba Mss Ltd Manepuri","Payment Success","939770"
"16725","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255716","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","12-Jun-2026","GURUKRIPA CONSTRUCTION","Payment Success","568682"
"16726","Uttar Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18392/2025-2026/255722","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","15-Jul-2026","GURUKRIPA CONSTRUCTION","Payment Success","1117162"
"16727","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255716","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","15-Jul-2026","GURUKRIPA CONSTRUCTION","Payment Success","415407"
"16728","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255716","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","20-Feb-2026","GURUKRIPA CONSTRUCTION","Payment Success","500774"
"16729","Uttar Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18392/2025-2026/255722","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","24-Mar-2026","GURUKRIPA CONSTRUCTION","Payment Success","1233072"
"16730","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255716","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","08-Jan-2026","GURUKRIPA CONSTRUCTION","Payment Success","938787"
